File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
heap_4.o,67.882210%,30752,756,724,0,32,30720
usbd_cdc_if.o,9.085691%,4116,224,204,0,20,4096
cmsis_os2.o,3.823231%,1732,434,430,0,4,1728
startup_stm32g474xx.o,3.390579%,1536,536,64,472,0,1536
tasks.o,2.843142%,1288,4616,4548,0,68,1220
usbd_conf.o,2.816653%,1276,990,990,0,0,1276
shell_port.o,2.536312%,1149,229,228,0,1,1148
usb_device.o,1.589334%,720,76,76,0,0,720
usbd_desc.o,1.311200%,594,468,386,0,82,512
timers.o,0.662222%,300,1338,1318,0,20,280
foc.o,0.600415%,272,1176,1176,0,0,272
usbd_cdc.o,0.598208%,271,1333,1062,0,271,0
usart.o,0.538608%,244,336,336,0,0,244
tim.o,0.335526%,152,684,684,0,0,152
shell.o,0.240607%,109,5815,4886,849,80,29
adc.o,0.238400%,108,396,396,0,0,108
spi.o,0.220741%,100,200,200,0,0,100
c_w.l,0.211911%,96,8337,7786,551,0,96
libspace.o,0.211911%,96,8,8,0,0,96
stm32g4xx_hal_timebase_tim.o,0.167763%,76,156,156,0,0,76
queue.o,0.141274%,64,2760,2760,0,0,64
bsp_usart.o,0.141274%,64,264,200,0,64,0
usr_config.o,0.114785%,52,116,116,0,0,52
app_freertos.o,0.105956%,48,1740,1644,48,48,0
encoder.o,0.070637%,32,396,396,0,0,32
mc_fsm.o,0.035319%,16,752,736,0,16,0
stm32g4xx_hal.o,0.026489%,12,114,102,0,12,0
port.o,0.026489%,12,1026,1014,0,12,0
pwm_curr.o,0.013244%,6,246,240,0,6,0
system_stm32g4xx.o,0.008830%,4,48,20,24,4,0
main.o,0.008830%,4,220,216,0,4,0
usbd_ctlreq.o,0.002207%,1,2217,2216,0,1,0
